Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1719044670.618980,184049,0,1
2,Q2,1719044670.838128,28228,0,1
3,Q3,1719044670.922288,36296,0,1
4,Q4,1719044670.972555,13007,0,1
5,Q5,1719044671.017286,30435,0,1
6,Q6,1719044671.069061,21002,0,1
7,Q7,1719044671.125808,30075,0,1
8,Q8,1719044671.233385,74158,0,1
9,Q9,1719044671.362962,53713,0,1
10,Q10,1719044671.453194,36169,0,1
11,Q11,1719044671.496156,5894,0,1
12,Q12,1719044671.533209,30829,0,1
13,Q13,1719044671.610855,50179,0,1
14,Q14,1719044671.671763,9852,0,1
15,Q15,1719044671.714364,29564,0,1
16,Q16,1719044671.775658,31075,0,1
17,Q17,1719044671.858972,46985,0,1
18,Q18,1719044672.065454,159712,0,1
19,Q19,1719044672.229604,3634,0,1
20,Q20,1719044672.250988,14712,0,1
21,Q21,1719044672.305183,38662,0,1
22,Q22,1719044672.356121,10978,0,1
